id,private,unit,nbeds1,nbeds2,nbeds3
1,1,1,72,72,72
2,1,3,108,108,108
3,1,4,74,74,74
4,1,1,42,42,26
5,1,3,116,116,116
6,0,1,46,46,46
7,1,2,392,392,386
8,1,3,80,80,80
9,1,4,22,22,29
10,1,4,412,412,307
11,1,4,220,220,176
12,0,1,64,64,34
13,1,3,37,37,26
14,0,1,104,104,6
15,1,1,130,130,97
16,1,2,176,176,176
17,1,4,237,237,222
18,1,1,224,224,186
19,1,2,183,183,183
20,0,1,168,168,159
21,0,4,175,175,149
22,1,4,80,80,74
23,0,4,131,131,84
24,1,4,100,100,91
25,0,3,277,277,262
26,1,3,185,185,186
27,1,3,96,96,28
28,0,4,32,32,16
29,0,2,366,366,266
30,1,4,154,154,85
31,0,1,259,259,266
32,1,4,56,56,11
33,1,4,105,105,95
34,1,3,29,29,3
35,0,4,486,486,508
36,1,1,245,245,221
37,1,2,450,450,452
38,1,4,322,322,349
39,0,4,248,248,239
40,1,2,242,242,239
41,0,4,118,118,120
42,1,3,252,252,244
43,1,2,269,269,12
44,0,2,67,67,63
45,1,1,143,143,120
46,1,4,72,72,55
47,1,2,84,84,78
48,0,4,220,220,115
49,1,3,50,50,46
50,1,1,186,186,139
51,1,4,98,98,74
52,1,4,75,75,75
53,0,4,65,65,50
54,1,2,120,120,120
55,1,2,113,113,108
56,0,4,50,50,55
57,1,3,43,43,51
58,1,4,70,70,70
59,0,4,80,80,80
60,1,4,41,41,41
61,1,4,90,90,30
62,0,1,130,130,93
63,0,2,211,211,225
64,1,1,173,173,173
65,1,4,74,74,74
66,1,4,170,170,170
67,1,4,22,22,38
68,1,2,200,200,98
69,1,1,297,297,206
70,1,3,330,330,15
71,1,4,576,576,520
72,1,2,185,185,181
73,1,2,281,281,242
74,1,1,117,117,117
