id,perf1,perf2,perf3
1,2,2,2
2,3,3,3
3,3,2,3
4,1,1,2
5,3,2,2
6,3,4,3
7,3,3,3
8,2,2,2
9,2,2,2
10,2,3,3
11,3,3,3
12,1,3,3
13,2,3,3
14,1,1,2
15,3,3,3
16,3,3,3
17,3,3,3
18,3,3,4
19,3,3,3
20,3,3,4
21,2,2,2
22,3,3,4
23,2,3,3
24,3,3,3
25,3,3,4
26,3,3,3
27,1,3,3
28,1,1,1
29,2,3,4
30,2,3,4
31,4,4,4
32,3,3,3
33,2,2,1
34,1,1,4
35,3,3,3
36,3,4,3
37,4,4,4
38,4,4,4
39,3,3,3
40,3,3,3
41,4,4,3
42,4,4,4
43,1,3,3
44,1,1,1
45,3,3,3
46,1,1,1
47,4,4,4
48,1,2,2
49,2,1,1
50,2,2,3
51,2,2,2
52,2,2,2
53,1,2,2
54,2,2,3
55,3,3,3
56,1,1,1
57,1,1,1
58,3,3,3
59,4,4,3
60,2,2,2
61,1,3,2
62,2,2,2
63,4,4,4
64,3,3,2
65,2,1,1
66,2,2,2
67,4,4,4
68,1,3,3
69,2,3,3
70,1,4,4
71,3,4,4
72,4,4,4
73,3,3,3
74,3,2,2
