id,grade1,grade2,grade3
1,26,26,27
2,24,24,24
3,26,27,27
4,28,26,27
5,25,23,24
6,26,25,27
7,25,26,26
8,26,26,27
9,26,25,26
10,26,26,27
11,28,29,26
12,28,26,26
13,24,24,25
14,27,29,27
15,26,25,26
16,26,25,25
17,27,26,27
18,28,27,26
19,25,27,26
20,28,26,25
21,26,25,27
22,24,25,27
23,24,23,24
24,26,26,24
25,28,27,28
26,29,28,28
27,26,28,27
28,22,24,22
29,27,28,28
30,28,27,25
31,25,26,25
32,22,25,25
33,27,28,26
34,29,27,27
35,25,27,25
36,22,24,24
37,28,26,27
38,22,23,23
39,24,25,25
40,25,27,28
41,28,27,27
42,27,27,27
43,28,28,28
44,29,29,29
45,27,26,26
46,28,28,27
47,22,26,26
48,27,26,27
49,28,27,27
50,24,25,25
51,26,27,25
52,28,27,27
53,24,26,24
54,28,27,27
55,23,22,21
56,27,26,25
57,26,26,26
58,26,27,26
59,28,27,27
60,23,20,21
61,27,28,27
62,29,29,29
63,28,27,27
64,30,28,30
65,28,27,27
66,24,25,24
67,27,27,27
68,26,27,24
69,26,27,24
70,24,26,26
