"id","private","unit","nbeds"
1,1,1,72
2,1,3,108
3,1,4,74
4,1,1,42
5,1,3,116
6,0,1,46
7,1,2,392
8,1,3,80
9,1,4,22
10,1,4,412
11,1,4,220
12,0,1,64
13,1,3,37
14,0,1,104
15,1,1,130
16,1,2,176
17,1,4,237
18,1,1,224
19,1,2,183
20,0,1,168
21,0,4,175
22,1,4,80
23,0,4,131
24,1,4,100
25,0,3,277
26,1,3,185
27,1,3,96
28,0,4,32
29,0,2,366
30,1,4,154
31,0,1,259
32,1,4,56
33,1,4,105
34,1,3,29
35,0,4,486
36,1,1,245
37,1,2,450
38,1,4,322
39,0,4,248
40,1,2,242
41,0,4,118
42,1,3,252
43,1,2,269
44,0,2,67
45,1,1,143
46,1,4,72
47,1,2,84
48,0,4,220
49,1,3,50
50,1,1,186
51,1,4,98
52,1,4,75
53,0,4,65
54,1,2,120
55,1,2,113
56,0,4,50
57,1,3,43
58,1,4,70
59,0,4,80
60,1,4,41
61,1,4,90
62,0,1,130
63,0,2,211
64,1,1,173
65,1,4,74
66,1,4,170
67,1,4,22
68,1,2,200
69,1,1,297
70,1,3,330
71,1,4,576
72,1,2,185
73,1,2,281
74,1,1,117
